"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603527280373331","1","32","8","922.375","-32","3.36248588704533","192.65625","0","0",""
"0002","1603527280377446","1","32","8","922.375","-45.5","3.76132089189559","215.5078125","0","0",""
"0002","1603527280381741","1","32","8","922.375","-62.5","3.32567034813607","190.546875","0","-2.64646032950742",""
"0002","1603527280390126","1","32","8","922.375","-45.5","3.71836942983479","213.046875","0","1.22193221526535",""
"0001","1603527280394467","1","32","8","922.375","-32","3.37475773334841","193.359375","0","0.0151487710910887",""
"0002","1603527280398865","1","32","8","922.375","-62.5","3.3440781175907","191.6015625","0","-1.11747625430005",""
"0001","1603527280434660","1","32","8","922.375","-32","3.36862181019687","193.0078125","0","-0.0039830869278388",""
"0002","1603527280439019","1","32","8","922.375","-46","3.73064127613788","213.75","0","0.251178199235677",""
"0002","1603527280443502","1","32","8","922.375","-62.5","3.22749557771139","184.921875","0","-2.92829833973483",""
"0001","1603527280452239","1","32","8","922.375","-32","3.36248588704533","192.65625","0","-0.00910701478415296",""
"0002","1603527280456656","1","32","8","922.375","-45.5","3.71836942983479","213.046875","0","0.973648854435913",""
"0002","1603527280461069","1","32","8","922.375","-62","3.44838881116692","197.578125","0","-1.59620606553082",""
"0002","1603527280496534","1","32","8","922.375","-45.5","3.69382573722862","211.640625","0","0.180563612452418",""
"0001","1603527280500703","1","32","8","922.375","-32","3.35021404074224","191.953125","0","-0.00660664463893302",""
"0002","1603527280505120","1","32","8","922.375","-62","3.36862181019687","193.0078125","0","-0.988223536361883",""
"0001","1603527280513436","1","32","8","922.375","-32","3.35634996389378","192.3046875","0","0.0125730160127719",""
"0002","1603527280517564","1","32","8","922.375","-45.5","3.70609758353171","212.34375","0","0.707575675746092",""
"0002","1603527280521889","1","32","8","922.375","-62","3.3440781175907","191.6015625","0","-2.18391689261199",""
"0001","1603527280557413","1","32","8","922.375","-32","3.3440781175907","191.6015625","0","-0.00728072460106988",""
"0002","1603527280561684","1","32","8","922.375","-45.5","3.69996166038017","211.9921875","0","0.233329522494189",""
"0002","1603527280565997","1","32","8","922.375","-62.5","3.42384511856075","196.171875","0","-1.67033377697151",""
"0001","1603527280574384","1","32","8","922.375","-32","3.35021404074224","191.953125","0","0.00943328106125891",""
"0002","1603527280578996","1","32","8","922.375","-45.5","3.70609758353171","212.34375","0","0.566523716668109",""
"0002","1603527280583377","1","32","8","922.375","-62","3.33180627128761","190.8984375","0","-2.22908582203335",""
"0001","1603527280618939","1","32","8","922.375","-32","3.35021404074224","191.953125","0","0",""
"0002","1603527280623209","1","32","8","922.375","-62","3.35634996389378","192.3046875","0","0.0160767436122339",""
"0002","1603527280627540","1","32","8","922.375","-45.5","3.71223350668325","212.6953125","0","2.14392711790724",""
"0002","1603527280636087","1","32","8","922.375","-45.5","3.69382573722862","211.640625","0","-0.0561924229170323",""
"0001","1603527280640255","1","32","8","922.375","-32","3.36248588704533","192.65625","0","0.0150208493986325",""
"0002","1603527280644713","1","32","8","922.375","-61.5","3.42998104171229","196.5234375","0","-0.798048360108611",""
"0001","1603527280680473","1","32","8","922.375","-32","3.3870295796515","194.0625","0","0.0159224439694291",""
"0002","1603527280684857","1","32","8","922.375","-45.5","3.72450535298634","213.3984375","0","0.191421537932194",""
"0002","1603527280689187","1","32","8","922.375","-62","3.27044703977219","187.3828125","0","-2.73598701014001",""
"0002","1603527280697554","1","32","8","922.375","-45.5","3.77972866135022","216.5625","0","1.58810250626531",""
"0001","1603527280701709","1","32","8","922.375","-32","3.3870295796515","194.0625","0","0",""
"0002","1603527280706124","1","32","8","922.375","-62","3.35021404074224","191.953125","0","-1.30763767821981",""
"0002","1603527280741604","1","32","8","922.375","-46","3.73677719928942","214.1015625","0","0.284267458063962",""
"0001","1603527280745859","1","32","8","922.375","-32","3.41157327225767","195.46875","0","0.0145043907488675",""
"0002","1603527280750075","1","32","8","922.375","-61.5","3.54042765844006","202.8515625","0","-0.604763406032346",""
"0001","1603527280758582","1","32","8","922.375","-32","3.39930142595458","194.765625","0","-0.0251657962572703",""
"0002","1603527280763071","1","32","8","922.375","-45.5","3.75518496874405","215.15625","0","0.431150157831015",""
"0002","1603527280767381","1","32","8","922.375","-61.5","3.41770919540921","195.8203125","0","-2.04294007169011",""
"0001","1603527280803024","1","32","8","922.375","-32","3.40543734910612","195.1171875","0","0.00360227291504939",""
"0002","1603527280807334","1","32","8","922.375","-62","3.36248588704533","192.65625","0","-0.0360631220688215",""
"0002","1603527280811726","1","32","8","922.375","-45.5","3.77359273819868","216.2109375","0","2.44220816568121",""
"0001","1603527280820484","1","32","8","922.375","-32","3.41157327225767","195.46875","0","0.00916908435799685",""
"0002","1603527280824730","1","32","8","922.375","-45.5","3.77359273819868","216.2109375","0","0",""
"0002","1603527280829082","1","32","8","922.375","-62","3.48520435007618","199.6875","0","-1.72893704178754",""
"0001","1603527280864837","1","32","8","922.375","-32","3.42998104171229","196.5234375","0","0.0108285040171324",""
"0002","1603527280869171","1","32","8","922.375","-45.5","3.81040827710793","218.3203125","0","0.211651258030959",""
"0002","1603527280873554","1","32","8","922.375","-62","3.55269950474315","203.5546875","0","-1.53408006876711",""
"0001","1603527280882259","1","32","8","922.375","-32","3.44225288801538","197.2265625","0","0.0183781670176357",""
"0002","1603527280886544","1","32","8","922.375","-45.5","3.77972866135022","216.5625","0","0.455997835023335",""
"0002","1603527280890886","1","32","8","922.375","-61.5","3.49747619637926","200.390625","0","-1.69604831712776",""
"0001","1603527280926494","1","32","8","922.375","-31.5","3.49747619637926","200.390625","0","0.0325721694589268",""
"0002","1603527280930923","1","32","8","922.375","-45.5","3.86563158547182","221.484375","0","0.239916396669019",""
"0002","1603527280935219","1","32","8","922.375","-61","3.66928204462245","210.234375","0","-1.1924932058892",""
"0001","1603527280943669","1","32","8","922.375","-31.5","3.52201988898543","201.796875","0","0.0372849404112081",""
"0002","1603527280947797","1","32","8","922.375","-61.5","3.61405873625857","207.0703125","0","-0.114551591351218",""
"0002","1603527280952102","1","32","8","922.375","-45.5","3.89631120122953","223.2421875","0","1.71062527130517",""
"0001","1603527280993371","1","32","8","922.375","-31.5","3.55883542789469","203.90625","0","0.0193262499968563",""
"0002","1603527280997889","1","32","8","922.375","-45.5","3.96994227904804","227.4609375","0","0.0419574672873851",""
"0002","1603527281002151","1","32","8","922.375","-61.5","3.65701019831937","209.53125","0","-1.91569752637773",""
"0001","1603527281010602","1","32","8","922.375","-31.5","3.5895150436524","205.6640625","0","0.0464547074721795",""
"0002","1603527281014852","1","32","8","922.375","-45.5","3.95153450959341","226.40625","0","0.605025290823557",""
"0002","1603527281019160","1","32","8","922.375","-61","3.78586458450176","216.9140625","0","-1.00336345126436",""
"0001","1603527281054827","1","32","8","922.375","-31.5","3.64473835201628","208.828125","0","0.0325795345622527",""
"0002","1603527281059117","1","32","8","922.375","-61.5","3.85949566232027","221.1328125","0","0.0480793491675426",""
"0002","1603527281063549","1","32","8","922.375","-45.5","4.04970928001809","232.03125","0","1.11977856489381",""
"0001","1603527281072118","1","32","8","922.375","-31.5","3.65701019831937","209.53125","0","0.0185174036077295",""
"0002","1603527281076735","1","32","8","922.375","-45","4.01289374110884","229.921875","0","-0.0728464490629266",""
"0002","1603527281080915","1","32","8","922.375","-61","3.8349519697141","219.7265625","0","-1.11068760139429",""
"0001","1603527281116423","1","32","8","922.375","-31.5","3.64473835201628","208.828125","0","-0.007226823739561",""
"0002","1603527281120640","1","32","8","922.375","-45.5","4.00062189480575","229.21875","0","0.108810314614144",""
"0002","1603527281125080","1","32","8","922.375","-61","3.70609758353171","212.34375","0","-1.73072662584459",""
"0002","1603527281133687","1","32","8","922.375","-45.5","4.0067578179573","229.5703125","0","0.911411459467948",""
"0001","1603527281138039","1","32","8","922.375","-32","3.60178688995549","206.3671875","0","-0.0518433331899692",""
"0002","1603527281142457","1","32","8","922.375","-61.5","3.76745681504713","215.859375","0","-0.711926602364239",""
"0001","1603527281177873","1","32","8","922.375","-32.5","3.48520435007618","199.6875","0","-0.0763606980198292",""
"0002","1603527281182434","1","32","8","922.375","-46.5","3.8779034317749","222.1875","0","0.0720829434932899",""
"0002","1603527281186699","1","32","8","922.375","-61.5","3.44838881116692","197.578125","0","-2.62753925025645",""
"0001","1603527281195096","1","32","8","922.375","-33","3.39930142595458","194.765625","0","-0.130133599284024",""
"0002","1603527281199495","1","32","8","922.375","-46","3.71836942983479","213.046875","0","0.550489009627032",""
"0002","1603527281203940","1","32","8","922.375","-62","3.31339850183298","189.84375","0","-2.37707222739736",""
"0001","1603527281245382","1","32","8","922.375","-34.5","3.098641191529","177.5390625","0","-0.15599805973115",""
"0002","1603527281249699","1","32","8","922.375","-47","3.42384511856075","196.171875","0","0.0629747116858159",""
"0002","1603527281254026","1","32","8","922.375","-62.5","2.96365088219506","169.8046875","0","-2.77488235886223",""
"0002","1603527281262505","1","32","8","922.375","-47","3.32567034813607","190.546875","0","1.11398048832962",""
"0001","1603527281266774","1","32","8","922.375","-34.5","2.9268353432858","167.6953125","0","-0.209544781270452",""
"0002","1603527281271234","1","32","8","922.375","-63","2.6813984172241","153.6328125","0","-1.92572830261377",""
"0001","1603527281312856","1","32","8","922.375","-34","2.66299064776947","152.578125","0","-0.149385121181739",""
"0002","1603527281317113","1","32","8","922.375","-63","2.36846633649543","135.703125","0","-0.177961656911046",""
"0002","1603527281321464","1","32","8","922.375","-47.5","2.9268353432858","167.6953125","0","3.34828576719073",""
"0001","1603527281329820","1","32","8","922.375","-34.5","2.58935956995096","148.359375","0","-0.113246083157716",""
"0002","1603527281333966","1","32","8","922.375","-63.5","2.38073818279852","136.40625","0","-1.13967420790798",""
"0002","1603527281338156","1","32","8","922.375","-47","2.88388388122501","165.234375","0","3.13306956015066",""
"0001","1603527281379598","1","32","8","922.375","-34.5","2.4359614911624","139.5703125","0","-0.0804030961924068",""
"0002","1603527281383872","1","32","8","922.375","-47","2.74889357189107","157.5","0","-0.0770414883977984",""
"0002","1603527281388282","1","32","8","922.375","-62.5","2.07394202522139","118.828125","0","-3.99322979999291",""
"0001","1603527281397906","1","32","8","922.375","-34.5","2.35619449019234","135","0","-0.113677013741431",""
"0002","1603527281402153","1","32","8","922.375","-47","2.70594210983027","155.0390625","0","1.18877499298784",""
"0002","1603527281406507","1","32","8","922.375","-63","2.0187187168575","115.6640625","0","-4.11812766278135",""
"0001","1603527281442290","1","32","8","922.375","-34.5","2.27029156607075","130.078125","0","-0.0504977239651395",""
"0002","1603527281446565","1","32","8","922.375","-47","2.58935956995096","148.359375","0","0.371675465545662",""
"0002","1603527281450905","1","32","8","922.375","-62.5","1.95122356219054","111.796875","0","-3.83631109230991",""
"0001","1603527281459303","1","32","8","922.375","-34.5","2.24574787346458","128.671875","0","-0.0376399724659084",""
"0002","1603527281463776","1","32","8","922.375","-47","2.57708772364788","147.65625","0","1.26869751494396",""
"0002","1603527281468086","1","32","8","922.375","-62","1.94508763903899","111.4453125","0","-3.82586958880148",""
"0001","1603527281503698","1","32","8","922.375","-34.5","2.22120418085841","127.265625","0","-0.0144243462453542",""
"0002","1603527281508059","1","32","8","922.375","-47","2.58322364679942","148.0078125","0","0.416520905126585",""
"0002","1603527281512326","1","32","8","922.375","-62.5","2.02485464000905","116.015625","0","-3.41419999368336",""
"0002","1603527281520751","1","32","8","922.375","-47","2.57095180049633","147.3046875","0","1.69118183350334",""
"0001","1603527281525062","1","32","8","922.375","-34.5","2.20893233455532","126.5625","0","-0.0149871010008074",""
