"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0002","1603526378683283","1","32","8","922.375","-64.5","6.13592315154256","351.5625","0","-¡Þ",""
"0001","1603526378687458","1","32","8","922.375","-48.5","1.82236917600814","104.4140625","0","0",""
"0002","1603526378695707","1","32","8","922.375","-64.5","6.15433092099719","352.6171875","0","0.0386571666670859",""
"0001","1603526378700011","1","32","8","922.375","-48.5","1.83464102231123","105.1171875","0","0.025506606052836",""
"0001","1603526378735435","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","-0.00451931495287446",""
"0002","1603526378739635","1","32","8","922.375","-64.5","6.08069984317868","348.3984375","0","-0.0437330758215147",""
"0001","1603526378748263","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","0",""
"0002","1603526378752520","1","32","8","922.375","-65","6.06229207372405","347.34375","0","-0.0372740891479918",""
"0001","1603526378789294","1","32","8","922.375","-48.5","1.83464102231123","105.1171875","0","0.00390173802467951",""
"0002","1603526378793497","1","32","8","922.375","-64.5","6.16046684414874","352.96875","0","0.0625100765368377",""
"0001","1603526378802025","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","-0.0125749911939852",""
"0002","1603526378806298","1","32","8","922.375","-65","6.0684279968756","347.6953125","0","-0.187593406246338",""
"0001","1603526378843160","1","32","8","922.375","-48.5","1.83464102231123","105.1171875","0","0.00389187341413942",""
"0002","1603526378847376","1","32","8","922.375","-64.5","6.14819499784565","352.265625","0","0.0506645593158899",""
"0001","1603526378857093","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","-0.0114901466224521",""
"0002","1603526378861164","1","32","8","922.375","-65","6.09297168948177","349.1015625","0","-0.10449883347952",""
"0001","1603526378896668","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","0",""
"0002","1603526378901042","1","32","8","922.375","-64.5","6.19114645990645","354.7265625","0","0.0642327951815537",""
"0001","1603526378909587","1","32","8","922.375","-48.5","1.82236917600814","104.4140625","0","-0.0123919972823458",""
"0002","1603526378913817","1","32","8","922.375","-64.5","6.09910761263331","349.453125","0","-0.187975201045744",""
"0001","1603526378949201","1","32","8","922.375","-48.5","1.82236917600814","104.4140625","0","0",""
"0002","1603526378953431","1","32","8","922.375","-64.5","5.982525072754","342.7734375","0","-0.0767847741940191",""
"0001","1603526378961810","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","0.0126966621374118",""
"0002","1603526378966109","1","32","8","922.375","-64.5","6.21569015251262","356.1328125","0","0.479847301612537",""
"0002","1603526379001614","1","32","8","922.375","-65","6.16660276730028","353.3203125","0","-0.036072037829179",""
"0001","1603526379005793","1","32","8","922.375","-48.5","1.83464102231123","105.1171875","0","0.00363986569562388",""
"0001","1603526379014244","1","32","8","922.375","-48.5","1.82236917600814","104.4140625","0","-0.0378871643333629",""
"0002","1603526379018814","1","32","8","922.375","-64.5","6.09297168948177","349.1015625","0","-0.111692241551599",""
"0001","1603526379054286","1","32","8","922.375","-48.5","1.82850509915968","104.765625","0","0.00399810730959055",""
"0002","1603526379058473","1","32","8","922.375","-65","6.08683576633022","348.75","0","-0.0040367183461667",""
