"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0002","1603527093287392","1","32","8","922.375","-55.5","5.43029198911517","311.1328125","0","-¡Þ",""
"0001","1603527093291547","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","-¡Þ",""
"0001","1603527093299981","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","0",""
"0002","1603527093304270","1","32","8","922.375","-56","5.43642791226671","311.484375","0","0.0094852596806864",""
"0001","1603527093339564","1","32","8","922.375","-42.5","5.25235021772044","300.9375","0","-0.0121334067319777",""
"0002","1603527093343694","1","32","8","922.375","-55.5","5.41802014281208","310.4296875","0","-0.012182341687091",""
"0001","1603527093352288","1","32","8","922.375","-42.5","5.24621429456889","300.5859375","0","-0.0125819092180623",""
"0002","1603527093356520","1","32","8","922.375","-55.5","5.47937937432751","313.9453125","0","0.124818503735089",""
"0001","1603527093391915","1","32","8","922.375","-42.5","5.26462206402352","301.640625","0","0.012119934354654",""
"0002","1603527093396561","1","32","8","922.375","-56","5.41802014281208","310.4296875","0","-0.039982071599267",""
"0001","1603527093404994","1","32","8","922.375","-42.5","5.25235021772044","300.9375","0","-0.0244808032556962",""
"0002","1603527093409538","1","32","8","922.375","-55.5","5.43029198911517","311.1328125","0","0.0246732238407375",""
"0001","1603527093446482","1","32","8","922.375","-42.5","5.25235021772044","300.9375","0","0",""
"0002","1603527093451086","1","32","8","922.375","-55.5","5.43029198911517","311.1328125","0","0",""
"0001","1603527093459517","1","32","8","922.375","-42.5","5.30143760293278","303.75","0","0.0982537555140008",""
"0002","1603527093464075","1","32","8","922.375","-56","5.43642791226671","311.484375","0","0.012325214634739",""
"0002","1603527093499519","1","32","8","922.375","-56","5.42415606596363","310.78125","0","-0.00903352967445125",""
"0001","1603527093503732","1","32","8","922.375","-42.5","5.27689391032661","302.34375","0","-0.0144830679986995",""
"0001","1603527093512439","1","32","8","922.375","-42.5","5.25848614087198","301.2890625","0","-0.0551598298692862",""
"0002","1603527093516753","1","32","8","922.375","-55.5","5.46710752802443","313.2421875","0","0.0650252692488322",""
"0002","1603527093553316","1","32","8","922.375","-56","5.4486997585698","312.1875","0","-0.0131355916820796",""
"0001","1603527093557701","1","32","8","922.375","-42.5","5.25848614087198","301.2890625","0","0",""
"0001","1603527093566412","1","32","8","922.375","-42.5","5.28916575662969","303.046875","0","0.0918908350881787",""
"0002","1603527093570764","1","32","8","922.375","-55.5","5.405748296509","309.7265625","0","-0.0642277332779903",""
"0001","1603527093606273","1","32","8","922.375","-42.5","5.28302983347815","302.6953125","0","-0.00401626183213228",""
"0002","1603527093610914","1","32","8","922.375","-55.5","5.43029198911517","311.1328125","0","0.0159494109978207",""
"0001","1603527093622431","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","-0.019815845140565",""
"0002","1603527093626747","1","32","8","922.375","-56","5.44256383541826","311.8359375","0","0.0202225999988158",""
"0001","1603527093663619","1","32","8","922.375","-42.5","5.26462206402352","301.640625","0","-0.00388686541931206",""
"0002","1603527093668222","1","32","8","922.375","-56","5.54073860584294","317.4609375","0","0.0617595034659433",""
"0001","1603527093676444","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","0.0124828236172027",""
"0002","1603527093680988","1","32","8","922.375","-55.5","5.41802014281208","310.4296875","0","-0.250810297494321",""
"0001","1603527093716530","1","32","8","922.375","-42.5","5.28302983347815","302.6953125","0","0.00798743765357606",""
"0002","1603527093720893","1","32","8","922.375","-56","5.42415606596363","310.78125","0","0.00401183342665393",""
"0002","1603527093729399","1","32","8","922.375","-56","5.4486997585698","312.1875","0","0.0752843700402657",""
"0001","1603527093733739","1","32","8","922.375","-42.5","5.29530167978123","303.3984375","0","0.0186056380836336",""
"0001","1603527093770632","1","32","8","922.375","-42.5","5.29530167978123","303.3984375","0","0",""
"0002","1603527093775235","1","32","8","922.375","-56","5.45483568172134","312.5390625","0","0.00349271779585097",""
"0001","1603527093784917","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","-0.0448280610124256",""
"0002","1603527093789419","1","32","8","922.375","-55.5","5.41802014281208","310.4296875","0","-0.067720902237997",""
"0001","1603527093824751","1","32","8","922.375","-42.5","5.27689391032661","302.34375","0","0.0040189841063068",""
"0002","1603527093828981","1","32","8","922.375","-55.5","5.45483568172134","312.5390625","0","0.0242796945893471",""
"0001","1603527093837642","1","32","8","922.375","-42.5","5.26462206402352","301.640625","0","-0.0248378268389768",""
"0002","1603527093842035","1","32","8","922.375","-55.5","5.46710752802443","313.2421875","0","0.0245276869757354",""
"0001","1603527093878899","1","32","8","922.375","-42.5","5.27689391032661","302.34375","0","0.00776072971329108",""
"0002","1603527093883630","1","32","8","922.375","-55.5","5.43029198911517","311.1328125","0","-0.0230929986138658",""
"0001","1603527093891987","1","32","8","922.375","-42.5","5.27075798717506","301.9921875","0","-0.0122319844812519",""
"0002","1603527093896233","1","32","8","922.375","-55.5","5.44256383541826","311.8359375","0","0.0254054134556256",""
