"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0002","1603526050267392","1","32","8","922.375","-60.5","2.56481587734479","146.953125","0","0",""
"0001","1603526050271625","1","32","8","922.375","-44.5","0.816077779155161","46.7578125","0","¡Þ",""
"0001","1603526050282283","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.0150208493986325",""
"0002","1603526050286511","1","32","8","922.375","-60","2.56481587734479","146.953125","0","0",""
"0002","1603526050322133","1","32","8","922.375","-60","2.60163141625405","149.0625","0","0.0269651697642959",""
"0001","1603526050326494","1","32","8","922.375","-44.5","0.797670009700533","45.703125","0","-0.0144843783574789",""
"0001","1603526050337303","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0.0296220210732954",""
"0002","1603526050341975","1","32","8","922.375","-60.5","2.58935956995096","148.359375","0","-0.0161367012287698",""
"0002","1603526050378512","1","32","8","922.375","-60","2.5954954931025","148.7109375","0","0.00438164635549238",""
"0001","1603526050382760","1","32","8","922.375","-44.5","0.816077779155161","46.7578125","0","0.00352183850431452",""
"0001","1603526050394873","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0132165617840853",""
"0002","1603526050398989","1","32","8","922.375","-60.5","2.54027218473862","145.546875","0","-0.0703633303714228",""
"0001","1603526050434606","1","32","8","922.375","-44.5","0.816077779155161","46.7578125","0","0.00402920023382642",""
"0002","1603526050439092","1","32","8","922.375","-60","2.58935956995096","148.359375","0","0.0319362068454978",""
"0001","1603526050452490","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.0089517005642264",""
"0002","1603526050456803","1","32","8","922.375","-60.5","2.57095180049633","147.3046875","0","-0.0271174207369361",""
"0001","1603526050492123","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.00807873301998965",""
"0002","1603526050496408","1","32","8","922.375","-60","2.57708772364788","147.65625","0","0.00404222226715377",""
"0001","1603526050507133","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0",""
"0002","1603526050511146","1","32","8","922.375","-60.5","2.60163141625405","149.0625","0","0.0434501866985005",""
"0001","1603526050546871","1","32","8","922.375","-44.5","0.828349625458246","47.4609375","0","0.0120860797894176",""
"0002","1603526050551611","1","32","8","922.375","-60.5","2.57095180049633","147.3046875","0","-0.0197815659076517",""
"0002","1603526050562365","1","32","8","922.375","-60.5","2.55254403104171","146.25","0","-0.0446602788424656",""
"0001","1603526050566540","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0244179489893678",""
"0001","1603526050601795","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.00908195790047511",""
"0002","1603526050606334","1","32","8","922.375","-60","2.60776733940559","149.4140625","0","0.0327692218612119",""
"0001","1603526050619615","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0179677006611251",""
"0002","1603526050625180","1","32","8","922.375","-60","2.58935956995096","148.359375","0","-0.0254842745766675",""
"0001","1603526050660840","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.00776675380912674",""
"0002","1603526050665169","1","32","8","922.375","-60.5","2.60163141625405","149.0625","0","0.00800681251797369",""
"0001","1603526050675813","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0213841198010586",""
"0002","1603526050679963","1","32","8","922.375","-60","2.57095180049633","147.3046875","0","-0.0541071423856377",""
"0001","1603526050715604","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0",""
"0002","1603526050719807","1","32","8","922.375","-60.5","2.55867995419325","146.6015625","0","-0.00803595085285739",""
"0001","1603526050733182","1","32","8","922.375","-44.5","0.797670009700533","45.703125","0","-0.0182150657515787",""
"0002","1603526050737701","1","32","8","922.375","-60","2.60776733940559","149.4140625","0","0.0715735834986588",""
"0001","1603526050773513","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0.00793891611369046",""
"0002","1603526050777937","1","32","8","922.375","-60.5","2.56481587734479","146.953125","0","-0.0278518115676105",""
"0001","1603526050788619","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.0211958444181948",""
"0002","1603526050792760","1","32","8","922.375","-60","2.60163141625405","149.0625","0","0.0648015433679923",""
"0002","1603526050828064","1","32","8","922.375","-60","2.60163141625405","149.0625","0","0",""
"0001","1603526050832197","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.00734738688744894",""
"0002","1603526050842937","1","32","8","922.375","-60.5","2.62003918570868","150.1171875","0","0.0322918468817236",""
"0001","1603526050847129","1","32","8","922.375","-44.5","0.834485548609789","47.8125","0","0.042885671816401",""
"0001","1603526050882817","1","32","8","922.375","-44.5","0.803805932852076","46.0546875","0","-0.0224294178562297",""
"0002","1603526050887012","1","32","8","922.375","-60.5","2.57708772364788","147.65625","0","-0.0254258761255672",""
"0001","1603526050900152","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0.00923520120511249",""
"0002","1603526050904401","1","32","8","922.375","-60.5","2.57095180049633","147.3046875","0","-0.0092065221053899",""
"0001","1603526050940106","1","32","8","922.375","-44.5","0.840621471761331","48.1640625","0","0.0200345663626452",""
"0002","1603526050944716","1","32","8","922.375","-60","2.61390326255713","149.765625","0","0.0277972340378116",""
"0001","1603526050955840","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0508746068674924",""
"0002","1603526050960154","1","32","8","922.375","-60.5","2.55867995419325","146.6015625","0","-0.0933300891317285",""
"0001","1603526050995724","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0.00802789152996816",""
"0002","1603526051000154","1","32","8","922.375","-60.5","2.57095180049633","147.3046875","0","0.00800461064453125",""
"0002","1603526051010873","1","32","8","922.375","-60.5","2.60776733940559","149.4140625","0","0.0896122098464176",""
"0001","1603526051015306","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","0",""
"0001","1603526051050619","1","32","8","922.375","-44.5","0.834485548609789","47.8125","0","0.00906704119676181",""
"0002","1603526051059397","1","32","8","922.375","-60.5","2.60776733940559","149.4140625","0","0",""
"0001","1603526051067957","1","32","8","922.375","-44.5","0.816077779155161","46.7578125","0","-0.0277008097053798",""
"0002","1603526051072314","1","32","8","922.375","-60.5","2.64458287831485","151.5234375","0","0.074363495962201",""
"0001","1603526051107801","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","-0.0040179754264287",""
"0002","1603526051114349","1","32","8","922.375","-60","2.61390326255713","149.765625","0","-0.0190427278328328",""
"0001","1603526051122893","1","32","8","922.375","-44.5","0.809941856003619","46.40625","0","0",""
"0002","1603526051127322","1","32","8","922.375","-60","2.65071880146639","151.875","0","0.0740424942067178",""
"0001","1603526051162740","1","32","8","922.375","-44.5","0.840621471761331","48.1640625","0","0.0200883646059459",""
"0002","1603526051166881","1","32","8","922.375","-60.5","2.55254403104171","146.25","0","-0.0647507623107257",""
"0001","1603526051177598","1","32","8","922.375","-44.5","0.822213702306704","47.109375","0","-0.032324447346337",""
